Type,Type_%,F1,F1_%,F2,F2_%,Fs,Fs_%,Axis,Axis_%
ESFP,15.789473684210526,Si,31.57894736842105,ESFP,15.789473684210526,ESFP,15.789473684210526,I/E,52.63157894736842
ISTJ,15.789473684210526,Se,26.31578947368421,ISTJ,15.789473684210526,ISTJ,15.789473684210526,N/S,26.31578947368421
ISFJ,15.789473684210526,Te,10.526315789473683,ISFJ,15.789473684210526,ISFJ,15.789473684210526,F/T,47.36842105263158
ESTP,10.526315789473683,Fi,10.526315789473683,ESTP,10.526315789473683,ESTP,10.526315789473683,P/J,52.63157894736842
ISTP,5.263157894736842,Ne,10.526315789473683,ISTP,5.263157894736842,ISTP,5.263157894736842,,
ESTJ,5.263157894736842,Ti,5.263157894736842,ESTJ,5.263157894736842,ESTJ,5.263157894736842,,
INFP,5.263157894736842,Ni,5.263157894736842,INFP,5.263157894736842,INFP,5.263157894736842,,
ENTJ,5.263157894736842,,,ENTJ,5.263157894736842,ENTJ,5.263157894736842,,
ENTP,5.263157894736842,,,ENTP,5.263157894736842,ENTP,5.263157894736842,,
ISFP,5.263157894736842,,,ISFP,5.263157894736842,ISFP,5.263157894736842,,
ENFP,5.263157894736842,,,ENFP,5.263157894736842,ENFP,5.263157894736842,,
INTJ,5.263157894736842,,,INTJ,5.263157894736842,INTJ,5.263157894736842,,
